SP-Code,Local-Name,Gen-Code,SP-Name,Royal-Class
TMAK,TLERM ANNDERK,,,Non Class 
TNIV,TAONIV,,,Non Class 
TOLP,TOUNLORP,CRATAEVA,NURVALA,Non Class 
TOUK,TOUK,,,Non Class 
TPOG,TOM POUNG,,,Non Class 
TRAC,TRACH,DIPTEROCAR,INTRIC,SECO
TRAG,TRANG,,,Non Class 
TRBL,TROR ORL,,,Non Class 
TRCU,TRA BEK CHOU,,,Non Class 
TREL,TREAL,PELTOPHORU,DASYRACH,FIRS
TREN,TRA MENG,CARALLIA,LUCIDA,THIR
TRLT,TRORLAT,VATICA,PHILASTREANA,SECO
TRMN,TRORMOUNG,GARCINIA,SCHOMBURGHI,THIR
TROG,TRORNG,,,Non Class 
TRSK,TRORMOUNGSEK,COELONIUM,MUTIFORUM,Non Class 
TRSK,TRORSEK  / TRAMKANG,PELTOPHORU,FERRUGIN,FIRS
TRTM,TRORP TOM,CRYPTERONI,SP.,THIR
TRYA,TROR YAK,,,Non Class 
TRYG,TROR YING,DIOSPYROS,HELFERI,LUXU
TRYG,TROR YORNG,AGLAIA,ODORATA,Non Class 
TTPY,TOTIM PREY,,,SECO
TTRV,TATRAV,FAGRAEAFRA,SP.,LUXU
UNKN,UNKNOWN,,,UNKN
VEAY,VEAY,,,Non Class 
VOEG,VOENG,,,Non Class 
WYNG,VOR YONG,CHUKRSIA,TABULARIS,FIRS
YEAM,YEAM,,,Non Class 
YOUK,YOUK,,,Non Class 
